model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B5,persistent.drop.audio,drop,audio,5,post,0.609633868234,0.714235591209,0.408229581824,0.0287469879351,0.032879051538,0.0340283362192,5,3
B5,persistent.drop.audio,drop,audio,5,pre,0.610742562492,0.715858786293,0.403985129014,0.032372668872,0.0310255664885,0.0295303408948,5,3
B5,persistent.drop.audio,drop,audio,15,fault,0.602669384571,0.706420887775,0.426224845712,0.0380403943954,0.0328964101903,0.0469101134447,5,3
B5,persistent.drop.audio,drop,audio,15,post,0.619910817274,0.733086850253,0.381035178399,0.0436681983335,0.0293040088037,0.0283394122733,5,3
B5,persistent.drop.audio,drop,audio,15,pre,0.607939400158,0.729687723789,0.383252795272,0.0398605597767,0.0350395622733,0.0392529771147,5,3
B5,persistent.drop.audio,drop,audio,30,fault,0.587358383301,0.719835597447,0.413135737426,0.0412438118854,0.0421518871252,0.0581110251763,5,3
B5,persistent.drop.audio,drop,audio,30,post,0.623311958506,0.747988393757,0.368156898639,0.0371266262418,0.0362122409538,0.0430047872367,5,3
B5,persistent.drop.audio,drop,audio,30,pre,0.611009263679,0.744022589946,0.367013674881,0.0515236655943,0.0347706093912,0.0362237239316,5,3
B5,persistent.drop.location,drop,location,5,fault,0.591473928561,0.701978068388,0.426616785177,0.0223318827908,0.0296474317632,0.0157623229175,5,3
B5,persistent.drop.location,drop,location,5,post,0.609633868234,0.714235591209,0.408229581824,0.0287469879351,0.032879051538,0.0340283362192,5,3
B5,persistent.drop.location,drop,location,5,pre,0.610742562492,0.715858786293,0.403985129014,0.032372668872,0.0310255664885,0.0295303408948,5,3
B5,persistent.drop.location,drop,location,15,fault,0.599061968172,0.720380460028,0.394518157908,0.0192088528582,0.0288101085508,0.0235143980679,5,3
B5,persistent.drop.location,drop,location,15,post,0.619910817274,0.733086850253,0.381035178399,0.0436681983335,0.0293040088037,0.0283394122733,5,3
B5,persistent.drop.location,drop,location,15,pre,0.607939400158,0.729687723789,0.383252795272,0.0398605597767,0.0350395622733,0.0392529771147,5,3
B5,persistent.drop.location,drop,location,30,fault,0.589923602533,0.737126099514,0.375691128438,0.0242445074641,0.0218155218725,0.0303150992315,5,3
B5,persistent.drop.location,drop,location,30,post,0.623311958506,0.747988393757,0.368156898639,0.0371266262418,0.0362122409538,0.0430047872367,5,3
B5,persistent.drop.location,drop,location,30,pre,0.611009263679,0.744022589946,0.367013674881,0.0515236655943,0.0347706093912,0.0362237239316,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,5,fault,0.604961435429,0.712746542928,0.414946835298,0.0306176136974,0.0337426488182,0.0404829995442,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,5,post,0.609633868234,0.714235591209,0.408229581824,0.0287469879351,0.032879051538,0.0340283362192,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,5,pre,0.610742562492,0.715858786293,0.403985129014,0.032372668872,0.0310255664885,0.0295303408948,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,15,fault,0.615509193013,0.730490894704,0.393801799513,0.0378381304556,0.0309490678268,0.0409439839487,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,15,post,0.619910817274,0.733086850253,0.381035178399,0.0436681983335,0.0293040088037,0.0283394122733,5,3
B5,persistent.drop.phone_acc,drop,phone_acc,15,pre,0.607939400158,0.729687723789,0.383252795272,0.0398605597767,0.0350395622733,0.0392529771147,5,3
