model_id,fold,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,2,mixed.drop-phone_gyro.gaussian-watch_acc.sigma-1,phone_gyro,watch_acc,1,0.581325726457,0.696504348878,0.589349966206,0.131442392076,3
B4,2,mixed.drop-phone_gyro.gaussian-watch_acc.sigma-2,phone_gyro,watch_acc,2,0.565147353599,0.685213072725,0.568012934119,0.136160368104,3
B4,2,mixed.drop-phone_state.gaussian-audio.sigma-1,phone_state,audio,1,0.519122462855,0.624628639561,0.527814857958,0.155128781446,3
B4,2,mixed.drop-phone_state.gaussian-audio.sigma-2,phone_state,audio,2,0.504599433571,0.609410832509,0.509962563502,0.161901330369,3
B4,2,mixed.drop-phone_state.gaussian-location.sigma-1,phone_state,location,1,0.546345499127,0.660577984651,0.555475592111,0.14111298104,3
B4,2,mixed.drop-phone_state.gaussian-location.sigma-2,phone_state,location,2,0.537523719463,0.657766208793,0.545623719604,0.142537390667,3
B4,2,mixed.drop-phone_state.gaussian-phone_acc.sigma-1,phone_state,phone_acc,1,0.554691635036,0.668274453441,0.569078562258,0.137561307591,3
B4,2,mixed.drop-phone_state.gaussian-phone_acc.sigma-2,phone_state,phone_acc,2,0.544250587134,0.658935984701,0.558724786474,0.141649996207,3
B4,2,mixed.drop-phone_state.gaussian-phone_gyro.sigma-1,phone_state,phone_gyro,1,0.560193191419,0.6730996326,0.572498116534,0.136194681856,3
B4,2,mixed.drop-phone_state.gaussian-phone_gyro.sigma-2,phone_state,phone_gyro,2,0.551913924088,0.667480611979,0.56608530507,0.139236578161,3
B4,2,mixed.drop-phone_state.gaussian-watch_acc.sigma-1,phone_state,watch_acc,1,0.534163173805,0.644743579353,0.546974112451,0.147433419335,3
B4,2,mixed.drop-phone_state.gaussian-watch_acc.sigma-2,phone_state,watch_acc,2,0.51515334878,0.630921326754,0.521428227213,0.154241544801,3
B4,2,mixed.drop-watch_acc.gaussian-audio.sigma-1,watch_acc,audio,1,0.539045182104,0.673517688466,0.533927735746,0.141696850015,3
B4,2,mixed.drop-watch_acc.gaussian-audio.sigma-2,watch_acc,audio,2,0.525979212379,0.661659855791,0.517355480082,0.146406677164,3
B4,2,mixed.drop-watch_acc.gaussian-location.sigma-1,watch_acc,location,1,0.54722245407,0.67806186792,0.552612851082,0.141295912662,3
B4,2,mixed.drop-watch_acc.gaussian-location.sigma-2,watch_acc,location,2,0.535470974826,0.67144382694,0.54241552636,0.144436501287,3
B4,2,mixed.drop-watch_acc.gaussian-phone_acc.sigma-1,watch_acc,phone_acc,1,0.560219476658,0.690645531789,0.563413636644,0.135303530404,3
