model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,2,mask.001000,1,watch_acc,phone_acc|phone_gyro|location|audio|phone_state,0.375684725263,0.503611919817,0.465791229521,0.214159999083,3
B4,2,mask.001001,2,watch_acc|phone_state,phone_acc|phone_gyro|location|audio,0.53634955681,0.646074214997,0.538959699783,0.164793744729,3
B4,2,mask.001010,2,watch_acc|audio,phone_acc|phone_gyro|location|phone_state,0.487473337211,0.627017361649,0.512250605659,0.153213760637,3
B4,2,mask.001011,3,watch_acc|audio|phone_state,phone_acc|phone_gyro|location,0.548554505733,0.674662339959,0.550213888534,0.141685181014,3
B4,2,mask.001100,2,watch_acc|location,phone_acc|phone_gyro|audio|phone_state,0.427510726541,0.520664050815,0.492669325836,0.210809438907,3
B4,2,mask.001101,3,watch_acc|location|phone_state,phone_acc|phone_gyro|audio,0.56047815745,0.656746554924,0.569681074921,0.155339811982,3
B4,2,mask.001110,3,watch_acc|location|audio,phone_acc|phone_gyro|phone_state,0.498933602257,0.612256979331,0.538679708449,0.157437736897,3
B4,2,mask.001111,4,watch_acc|location|audio|phone_state,phone_acc|phone_gyro,0.570425831092,0.685281610639,0.578782613836,0.135568441198,3
B4,2,mask.010000,1,phone_gyro,phone_acc|watch_acc|location|audio|phone_state,0.347414015167,0.563279112432,0.369994692093,0.183978122792,3
B4,2,mask.010001,2,phone_gyro|phone_state,phone_acc|watch_acc|location|audio,0.477736008617,0.634586807404,0.469694249413,0.176054041326,3
B4,2,mask.010010,2,phone_gyro|audio,phone_acc|watch_acc|location|phone_state,0.412923615065,0.601794598254,0.425134716788,0.163704530753,3
B4,2,mask.010011,3,phone_gyro|audio|phone_state,phone_acc|watch_acc|location,0.497281653784,0.656608113137,0.489776644965,0.152381018079,3
B4,2,mask.010100,2,phone_gyro|location,phone_acc|watch_acc|audio|phone_state,0.393178752704,0.521772952868,0.410012116185,0.208117801032,3
B4,2,mask.010101,3,phone_gyro|location|phone_state,phone_acc|watch_acc|audio,0.532635076888,0.651489347085,0.529550086223,0.157307461134,3
B4,2,mask.010110,3,phone_gyro|location|audio,phone_acc|watch_acc|phone_state,0.455789712741,0.596208423355,0.477934245033,0.161663217404,3
B4,2,mask.010111,4,phone_gyro|location|audio|phone_state,phone_acc|watch_acc,0.542998178555,0.673022805677,0.542684840525,0.141085628388,3
B4,2,mask.011000,2,phone_gyro|watch_acc,phone_acc|location|audio|phone_state,0.393649716236,0.512263137021,0.454359104521,0.212084201314,3
B4,2,mask.011001,3,phone_gyro|watch_acc|phone_state,phone_acc|location|audio,0.543182139395,0.648710706289,0.548809670302,0.163610851422,3
B4,2,mask.011010,3,phone_gyro|watch_acc|audio,phone_acc|location|phone_state,0.498239579184,0.631008623425,0.522549182441,0.152762413019,3
B4,2,mask.011011,4,phone_gyro|watch_acc|audio|phone_state,phone_acc|location,0.557443524114,0.677751323307,0.561772400816,0.141691568944,3
B4,2,mask.011100,3,phone_gyro|watch_acc|location,phone_acc|audio|phone_state,0.445554774121,0.530760659859,0.497692239285,0.207784631342,3
B4,2,mask.011101,4,phone_gyro|watch_acc|location|phone_state,phone_acc|audio,0.572977270161,0.661930672721,0.579660189394,0.153907252589,3
B4,2,mask.011110,4,phone_gyro|watch_acc|location|audio,phone_acc|phone_state,0.515723475463,0.619255145275,0.553549560545,0.155833449323,3
B4,2,mask.011111,5,phone_gyro|watch_acc|location|audio|phone_state,phone_acc,0.583666512709,0.68975005492,0.590774570306,0.134949324376,3
B4,2,mask.100000,1,phone_acc,phone_gyro|watch_acc|location|audio|phone_state,0.346665410257,0.56375053693,0.356134311608,0.196126525042,3
