repeat,p2_macro_f1_seed_then_fold_mean,p_macro_f1_seed_then_fold_mean,delta_p2_minus_p
301,0.571597284075,0.569291065789,0.00230621828688
302,0.558389670809,0.555177272324,0.00321239848575
303,0.557405745597,0.558077062504,-0.000671316906656
304,0.587592966028,0.585993022806,0.001599943222
305,0.557779538063,0.556056519281,0.00172301878204
306,0.554796346237,0.552772938651,0.00202340758562
307,0.557033460968,0.557642455413,-0.000608994444831
308,0.568099717208,0.563937540083,0.00416217712482
309,0.576581765071,0.576978089888,-0.000396324817242
310,0.576894035,0.575790078285,0.00110395671529
311,0.56838466266,0.567094973621,0.00128968903812
312,0.58936069504,0.587464839469,0.0018958555708
313,0.56840671748,0.566272636987,0.00213408049223
314,0.577641803664,0.577131197378,0.000510606285489
315,0.565519229039,0.566787665109,-0.00126843606972
316,0.560240564756,0.556499770994,0.00374079376203
317,0.574079285223,0.575901248265,-0.00182196304278
318,0.597359903148,0.595156262026,0.0022036411218
319,0.572757361291,0.571255054186,0.0015023071055
320,0.569859634745,0.569120757378,0.000738877366994
321,0.585043106311,0.584704177847,0.000338928464124
322,0.576885229248,0.576655623861,0.000229605386969
323,0.571416361948,0.568740270856,0.00267609109205
324,0.574228909263,0.574560872012,-0.000331962749047
325,0.574011251703,0.576058973742,-0.00204772203861
326,0.59273559693,0.59108141238,0.00165418455042
327,0.579195528145,0.578201348223,0.000994179922188
328,0.596163738031,0.597687920433,-0.00152418240238
329,0.588666743064,0.586361953951,0.0023047891124
330,0.577827668257,0.577074215806,0.000753452450899
331,0.571224448003,0.570986345742,0.000238102261067
332,0.579795869693,0.578327795377,0.00146807431581
333,0.583075285413,0.579225609195,0.00384967621768
334,0.570473602994,0.568957319144,0.0015162838494
335,0.567434475515,0.565769932196,0.00166454331843
336,0.590868766244,0.592235422583,-0.0013666563386
337,0.546697111919,0.544131274903,0.00256583701588
338,0.563392703202,0.562071121225,0.00132158197683
339,0.566576117422,0.567026729573,-0.000450612151185
340,0.569194556246,0.565130438207,0.0040641180386
341,0.57939932747,0.578849377307,0.000549950162549
342,0.561783165524,0.560629213973,0.00115395155126
343,0.544086565136,0.544355902319,-0.000269337183237
344,0.578829290643,0.578039071972,0.00079021867041
345,0.572720269805,0.569282199283,0.00343807052261
346,0.532068395077,0.526532513801,0.00553588127583
347,0.583409072055,0.58197665387,0.0014324181854
348,0.566771085968,0.565366934665,0.00140415130309
349,0.575173364908,0.57582620517,-0.000652840261948
350,0.569911489492,0.567988084486,0.00192340500619
351,0.572284785285,0.570898105552,0.0013866797331
352,0.5796026818,0.582048085238,-0.00244540343836
353,0.561264204236,0.560794583004,0.000469621231541
354,0.593144512668,0.593058305052,8.62076159891e-05
355,0.584228751191,0.582618584135,0.00161016705591
356,0.564089041889,0.564331335399,-0.000242293510917
357,0.579097645529,0.576028091692,0.00306955383616
358,0.57224407259,0.57196789117,0.000276181419837
359,0.580697018046,0.577612728948,0.00308428909768
360,0.585771806712,0.585204087094,0.000567719618228
361,0.583572020761,0.581985770919,0.00158624984167
362,0.575342828759,0.574651956013,0.000690872746733
363,0.589677822839,0.589411443298,0.000266379540414
364,0.561737089952,0.560375194068,0.00136189588362
365,0.58748231329,0.585475462909,0.00200685038079
366,0.576005548182,0.573950171822,0.00205537636
367,0.563949589636,0.562525084354,0.0014245052829
368,0.56303488483,0.565147931349,-0.00211304651874
369,0.590536176334,0.586579222448,0.00395695388642
370,0.591856359063,0.592799882591,-0.000943523528034
371,0.574993525784,0.574733909124,0.00025961666004
372,0.580848458819,0.581837703037,-0.000989244217902
373,0.563878516023,0.563649899399,0.00022861662453
374,0.568254666587,0.563631232836,0.00462343375074
375,0.575614559745,0.574030262583,0.00158429716202
376,0.575352766058,0.575570993529,-0.000218227470418
377,0.535744295551,0.532336082223,0.00340821332826
378,0.584193021119,0.580108053221,0.00408496789778
379,0.594545039385,0.594983734263,-0.00043869487809
380,0.537981788509,0.536155794434,0.00182599407478
381,0.578594539347,0.580927370569,-0.00233283122201
382,0.548874288111,0.545651918137,0.00322236997398
383,0.558428819355,0.555704503438,0.00272431591665
384,0.569686140991,0.567950044843,0.00173609614793
385,0.545073253165,0.54581348461,-0.000740231445579
386,0.570305528261,0.568681184003,0.00162434425781
387,0.567366037453,0.565342098541,0.00202393891156
388,0.587373699026,0.588081251663,-0.000707552637544
389,0.563957513928,0.562110375788,0.00184713814018
390,0.586053668353,0.586061857999,-8.18964564968e-06
391,0.5825936939,0.580158945198,0.00243474870197
392,0.56808876797,0.567544242679,0.000544525291843
393,0.569901462487,0.5697106613,0.000190801187134
394,0.561611780375,0.558809251663,0.00280252871151
395,0.574613607944,0.573383189374,0.00123041856999
396,0.566743196429,0.566358283811,0.000384912617841
397,0.587075895896,0.584656261993,0.00241963390234
398,0.569273348042,0.570968882345,-0.00169553430367
399,0.556075459498,0.553112479713,0.00296297978477
400,0.591129261565,0.590579539196,0.000549722369093
401,0.573506310081,0.571882072313,0.00162423776821
402,0.551749553286,0.548020678627,0.00372887465948
403,0.576349930247,0.576666821483,-0.000316891236347
404,0.570237100155,0.570431666419,-0.00019456626356
405,0.567219424175,0.564802489534,0.00241693464172
406,0.562145967666,0.559313699111,0.00283226855489
407,0.577099247213,0.576611694572,0.000487552641058
408,0.572659550857,0.571286271003,0.0013732798533
409,0.577257853676,0.575604374713,0.00165347896302
410,0.573455351646,0.572885797016,0.000569554630572
411,0.580115288295,0.579542144248,0.000573144047727
412,0.588351829954,0.586759259985,0.00159256996964
413,0.551717425224,0.547409938202,0.00430748702154
414,0.576639120075,0.57317279668,0.00346632339505
415,0.558657956121,0.555464036251,0.0031939198695
416,0.561941751506,0.559661515777,0.00228023572912
417,0.586845078301,0.586803068624,4.20096769861e-05
418,0.543230187759,0.539895692445,0.00333449531377
419,0.583260376467,0.582755670456,0.000504706011066
420,0.565153373406,0.564632230587,0.000521142818912
421,0.581457816549,0.578506869547,0.00295094700173
422,0.550669088225,0.547507468717,0.00316161950805
423,0.585688474133,0.587093523073,-0.00140504893988
